embedding_X,embedding_Y,cluster,short_name,variety,missingness,heterozygosity,alt_name,short_name,inventory,reference_original,reference,seedSource,seedType,parameters
26.13097,10.428225,0,1000247,,0.05691854759568204,0.09309309309309309,1620,1000247,R46,Variety-29,Variety-29,SourceB,Breeder seed,"('minSample', 0.2)"
26.041477,10.509713,0,1000052,,0.07262021589793916,0.02902902902902903,52,1000052,R61,Variety-37,Variety-37,SourceC,Breeder seed,"('minloci', 0.2)"
26.057749,10.487032,0,1000051,,0.07850834151128558,0.03403403403403404,51,1000051,R61,Variety-37,Variety-37,SourceC,Breeder seed,"('umapSeed', 42)"
26.055851,10.493567,0,1000091,,0.08832188420019627,0.056056056056056056,183,1000091,R48,Variety-30,Variety-30_b,SourceB,Breeder seed,"('epsilon', 0.75)"
26.077394,10.426353,0,1000092,,0.09617271835132483,0.06006006006006006,184,1000092,R48,Variety-30,Variety-30_b,SourceB,Breeder seed,"('cutHeight', 0.043)"
26.639713,10.2887945,0,1000008,,0.052011776251226695,0.01001001001001001,7,1000008,R55,Variety-33,Variety-33,SourceA,Breeder seed,"('admixedCutoff', None)"
26.647404,10.258965,0,1000087,,0.053974484789008834,0.013013013013013013,85,1000087,R56,Variety-33,Variety-33,SourceB,Breeder seed,"('filePrefix', 'riceTutorial')"
26.698183,10.281887,0,1000088,,0.050049067713444556,0.011011011011011011,86,1000088,R56,Variety-33,Variety-33,SourceB,Breeder seed,"('inputCountsFile', 'countsRiceTutorial.csv')"
26.65343,10.281394,0,1000023,,0.05299313052011776,0.01001001001001001,23,1000023,R57,Variety-34,Variety-34,SourceC,Breeder seed,"('inputMetaFile', 'metadataRiceTutorial.csv')"
26.734543,10.261321,0,1000022,,0.047105004906771344,0.013013013013013013,22,1000022,R57,Variety-34,Variety-34,SourceC,Breeder seed,
26.687088,10.282165,0,1000009,,0.053974484789008834,0.018018018018018018,8,1000009,R55,Variety-33,Variety-33,SourceA,Breeder seed,
26.159979,10.420897,0,1000005,,0.04612365063788027,0.01001001001001001,2,1000005,R60,Variety-36,Variety-36,SourceC,Breeder seed,
26.238138,10.382025,0,1000031,,0.05593719332679097,0.014014014014014014,32,1000031,R54,Variety-33,Variety-33,SourceC,Breeder seed,
26.258303,10.279646,0,1000018,,0.04906771344455348,0.015015015015015015,18,1000018,R63,Variety-38,Variety-38,SourceC,Breeder seed,
26.137505,10.443465,0,1000053,,0.053974484789008834,0.016016016016016016,53,1000053,R59,Variety-35,Variety-35,SourceC,Breeder seed,
26.098818,10.479258,0,1000241,,0.05986261040235525,0.01001001001001001,1656,1000241,R59,Variety-35,Variety-35,SourceC,Breeder seed,
26.174482,10.423577,0,1000239,,0.058881256133464184,0.013013013013013013,1655,1000239,R59,Variety-35,Variety-35,SourceC,Breeder seed,
26.135157,10.461067,0,1000054,,0.040235525024533855,0.009009009009009009,54,1000054,R59,Variety-35,Variety-35,SourceC,Breeder seed,
26.27975,10.298968,0,1000001,,0.07654563297350343,0.026026026026026026,31,1000001,R54,Variety-33,Variety-33,SourceC,Breeder seed,
26.243109,10.307606,0,1000019,,0.04317958783120707,0.01001001001001001,19,1000019,R63,Variety-38,Variety-38,SourceC,Breeder seed,
26.24512,10.323431,0,1000030,,0.05299313052011776,0.021021021021021023,30,1000030,R54,Variety-33,Variety-33,SourceC,Breeder seed,
26.236874,10.302865,0,1000261,,0.06771344455348381,0.021021021021021023,1664,1000261,R62,Variety-38,Variety-38,SourceE,Certified seed,
26.237219,10.30012,0,1000259,,0.058881256133464184,0.02002002002002002,1663,1000259,R62,Variety-38,Variety-38,SourceE,Certified seed,
25.868767,9.971041,0,1000180,,0.08537782139352307,0.026026026026026026,232,1000180,R58,Variety-34,Variety-34,SourceB,Breeder seed,
25.905315,10.011276,0,1000178,,0.08243375858684986,0.025025025025025027,231,1000178,R58,Variety-34,Variety-34,SourceB,Breeder seed,
25.900108,9.997479,0,1000176,,0.07654563297350343,0.023023023023023025,230,1000176,R58,Variety-34,Variety-34,SourceB,Breeder seed,
25.903877,9.995113,0,1000174,,0.08537782139352307,0.028028028028028028,229,1000174,R58,Variety-34,Variety-34,SourceB,Breeder seed,
1.517184,3.7118928,1,1000084,,0.06771344455348381,0.024024024024024024,172,1000084,R6,Variety-6,Variety-6,SourceB,Breeder seed,
1.502266,3.6670425,1,1000083,,0.07654563297350343,0.03203203203203203,171,1000083,R6,Variety-6,Variety-6,SourceB,Breeder seed,
1.2797011,3.487116,1,1000113,,0.09617271835132483,0.025025025025025027,205,1000113,R51,Variety-31,Variety-31_b,SourceB,Breeder seed,
1.2826284,3.4571712,1,1000114,,0.11874386653581943,0.035035035035035036,206,1000114,R51,Variety-31,Variety-31_b,SourceB,Breeder seed,
