embedding_X,embedding_Y,cluster,short_name,variety,assignment_confidence,heterozygous_loci_count,avg_heterozygosity_level,missingness
-3.8474078,0.61947066,0,1000247,Variety-29,1.0,89,0.5232833629856173,0.015015015015015015
-3.7722025,0.66459453,0,1000052,Variety-37,1.0,11,0.43766585351670595,0.03203203203203203
-3.7477865,0.7088343,0,1000051,Variety-37,1.0,16,0.5249710323769261,0.04004004004004004
-3.6899118,0.66893834,0,1000091,Variety-30_b,1.0,34,0.46982333370294765,0.03903903903903904
-3.7357574,0.7150398,0,1000092,Variety-30_b,1.0,38,0.5357565308647212,0.04604604604604605
-3.983292,0.06201203,0,1000008,Variety-33,1.0,6,0.5514794909809736,0.014014014014014014
-3.9828904,0.035679467,0,1000087,Variety-33,1.0,8,0.5084547164245151,0.01701701701701702
-3.983461,0.03296933,0,1000088,Variety-33,1.0,5,0.5508796296296297,0.013013013013013013
-3.988067,0.021493027,0,1000023,Variety-34,1.0,5,0.485,0.016016016016016016
-3.9842846,0.02171251,0,1000022,Variety-34,1.0,7,0.4131512165994925,0.016016016016016016
-3.9836705,0.04221118,0,1000009,Variety-33,1.0,8,0.5392698798627003,0.016016016016016016
-3.9119916,0.55140525,0,1000005,Variety-36,1.0,6,0.5422470978441128,0.015015015015015015
-3.94599,0.50668454,0,1000031,Variety-33,1.0,6,0.6325545171339564,0.018018018018018018
-4.0000567,0.45617175,0,1000018,Variety-38,1.0,12,0.5378460626945335,0.015015015015015015
-3.9252603,0.55305564,0,1000053,Variety-35,1.0,8,0.5133337037383615,0.021021021021021023
-3.919854,0.55009764,0,1000241,Variety-35,1.0,7,0.5062816616008105,0.01701701701701702
-3.8920867,0.5522243,0,1000239,Variety-35,1.0,9,0.5938188564007745,0.015015015015015015
-3.9167185,0.570025,0,1000054,Variety-35,1.0,5,0.5393495934959349,0.01001001001001001
-3.988893,0.4631875,0,1000001,Variety-33,1.0,17,0.5886216140101621,0.026026026026026026
-3.9110959,0.56804997,0,1000019,Variety-38,1.0,9,0.3862887419408354,0.009009009009009009
-3.975423,0.50062096,0,1000030,Variety-33,1.0,16,0.5856043963063726,0.014014014014014014
-3.9157636,0.53856355,0,1000261,Variety-38,1.0,16,0.5381142199272301,0.02002002002002002
-3.9506955,0.49813154,0,1000259,Variety-38,1.0,18,0.5014287393886441,0.013013013013013013
-4.0309086,0.8382801,0,1000180,Variety-34,1.0,11,0.3981721482130682,0.035035035035035036
-4.041283,0.90967166,0,1000178,Variety-34,1.0,12,0.4660013935522754,0.031031031031031032
-4.043514,0.90020996,0,1000176,Variety-34,1.0,8,0.3718194235799569,0.028028028028028028
-4.013049,0.845679,0,1000174,Variety-34,1.0,9,0.4391811953016694,0.036036036036036036
15.032771,8.428382,1,1000084,Variety-6,1.0,23,0.4407484329543612,0.011011011011011011
15.032311,8.42777,1,1000083,Variety-6,1.0,32,0.5081751858840939,0.02002002002002002
15.000159,8.800536,1,1000113,Variety-31_b,1.0,17,0.5390144561059108,0.026026026026026026
15.028441,8.740199,1,1000114,Variety-31_b,1.0,22,0.5220655522673239,0.043043043043043044
14.986198,8.859356,1,1000002,Variety-31_a,1.0,427,0.48628890573033534,0.01001001001001001
14.995009,8.848678,1,1000040,Variety-31_a,1.0,421,0.4732296729254715,0.007007007007007007
14.967711,8.895759,1,1000096,Variety-32,1.0,8,0.45809347561185254,0.007007007007007007
14.932291,8.950797,1,1000095,Variety-32,1.0,8,0.4652494811790877,0.009009009009009009
14.940964,8.911013,1,1000128,Variety-32,1.0,345,0.5074202180122033,0.001001001001001001
14.899373,8.969558,1,1000126,Variety-32,1.0,420,0.4837919327083628,0.003003003003003003
15.625858,9.273218,1,1000664,Variety-31_a,-11.333594434261373,11,0.3190830653339393,0.008008008008008008
15.603808,9.250309,1,1000624,Variety-31_a,-11.325408819351223,12,0.3688816357234121,0.009009009009009009
